travel.time.sum,travel.time.mean,trips,cong,party,ideology,winpct,seniority,chairman,committee,party.leader,state.district,extreme,fourteenth,thirteenth,twelfth,eleventh,democrat,house.majority
12,3,4,114,200,0.279,55.4379525,22,0,0,0,AK1,0.6440046,1,0,0,0,0,1
21,3,7,113,200,0.511,69.246682,21,0,0,0,AK1,0.8760046,0,1,0,0,0,1
42,7,6,112,200,0.492,69.2052304,20,0,0,0,AK1,0.8570046,0,0,1,0,0,1
8,2.666666667,3,111,200,0.472,50.14,19,0,0,0,AK1,0.8370046,0,0,0,1,0,0
0,0,0,110,200,0.452,56.57,18,0,1,0,AK1,0.8170046,0,0,0,0,0,0
64,4.571428571,14,114,200,0.535,68.2456787,2,0,0,0,AL1,0.9000046,1,0,0,0,0,1
27,3.857142857,7,111,200,0.5,100,4,0,0,0,AL1,0.8650046,0,0,0,1,0,0
24,4,6,112,200,0.476,100,5,1,0,0,AL1,0.8410046,0,0,1,0,0,1
17,3.4,5,113,200,0.681,70.656734,1,0,0,0,AL1,1.0460046,0,1,0,0,0,1
0,0,0,110,200,0.523,68.1,3,0,0,0,AL1,0.8880046,0,0,0,0,0,0
20,10,2,113,200,0.435,63.6846473,2,0,0,0,AL2,0.8000046,0,1,0,0,0,0
15,7.5,2,114,200,0.36,67.405465,3,0,0,0,AL2,0.7250046,1,0,0,0,0,1
5,2.5,2,110,200,0.523,69.47,8,0,0,0,AL2,0.8880046,0,0,0,0,0,1
9,9,1,111,100,0.062,50.23,1,0,0,0,AL2,0.5826525,0,0,0,1,1,1
0,0,0,112,200,0.435,51.1173248,1,0,0,0,AL2,0.8000046,0,0,1,0,0,1
69,3.833333333,18,113,200,0.472,64.1245019,7,0,0,0,AL3,0.8370046,0,1,0,0,0,1
55,4.230769231,13,112,200,0.47,59.484169,6,0,0,0,AL3,0.8350046,0,0,1,0,0,1
13,3.25,4,114,200,0.333,66.2245642,7,0,0,0,AL3,0.6980046,1,0,0,0,0,1
1,1,1,111,200,0.468,54,5,0,0,0,AL3,0.8330046,0,0,0,1,0,0
0,0,0,110,200,0.466,59.44,4,0,0,0,AL3,0.8310046,0,0,0,0,0,0
58,4.833333333,12,113,200,0.454,74.0132429,9,0,0,0,AL4,0.8190046,0,1,0,0,0,1
29,4.833333333,6,112,200,0.457,100,8,0,0,0,AL4,0.8220046,0,0,1,0,0,1
21,5.25,4,110,200,0.464,70.18,6,0,0,0,AL4,0.8290046,0,0,0,0,0,0
18,6,3,114,200,0.358,100,10,0,0,0,AL4,0.7230046,1,0,0,0,0,1
0,0,0,111,200,0.461,74.76,7,0,0,0,AL4,0.8260046,0,0,0,1,0,0
40,4,10,114,200,0.593,100,3,0,0,0,AL5,0.9580046,1,0,0,0,0,1
26,5.2,5,112,200,0.827,57.9310192,1,0,0,0,AL5,1.1920046,0,0,1,0,0,1
21,4.2,5,113,200,0.827,65.0392475,2,0,0,0,AL5,1.1920046,0,1,0,0,0,1
13,4.333333333,3,111,200,0.543,51.52,1,0,0,0,AL5,0.9080046,0,0,0,1,0,0
0,0,0,110,100,-0.091,100,9,0,0,0,AL5,0.7356525,0,0,0,0,1,1
61,3.588235294,17,112,200,0.567,100,10,1,0,0,AL6,0.9320046,0,0,1,0,0,1
61,4.357142857,14,113,200,0.575,71.355034,11,0,0,0,AL6,0.9400046,0,1,0,0,0,1
35,3.888888889,9,114,200,0.788,80.8412612,1,0,0,0,AL6,1.1530046,1,0,0,0,0,1
32,4,8,110,200,0.551,100,8,0,1,0,AL6,0.9160046,0,0,0,0,0,0
34,4.25,8,111,200,0.559,100,9,0,1,0,AL6,0.9240046,0,0,0,1,0,0
6,2,3,111,100,-0.227,100,4,0,0,0,AL7,0.8716525,0,0,0,1,1,1
7,3.5,2,110,100,-0.227,100,3,0,0,0,AL7,0.8716525,0,0,0,0,1,1
5,2.5,2,113,100,-0.321,75.8406429,2,0,0,0,AL7,0.9656525,0,1,0,0,1,0
3,3,1,114,100,-0.407,100,3,0,0,0,AL7,1.0516525,1,0,0,0,1,0
9,9,1,112,100,-0.321,72.4606939,1,0,0,0,AL7,0.9656525,0,0,1,0,1,0
32,3.555555556,9,114,200,0.355,66.1390348,3,0,0,0,AR1,0.7200046,1,0,0,0,0,1
11,2.75,4,113,200,0.477,59.1073023,2,0,0,0,AR1,0.8420046,0,1,0,0,0,1
13,4.333333333,3,110,100,-0.309,69.26,6,0,0,0,AR1,0.9536525,0,0,0,0,1,1
4,2,2,112,200,0.477,54.4109953,1,0,0,0,AR1,0.8420046,0,0,1,0,0,1
0,0,0,111,100,-0.322,100,7,0,0,0,AR1,0.9666525,0,0,0,1,1,1
36,7.2,5,111,100,-0.221,76.54,7,0,0,0,AR2,0.8656525,0,0,0,1,1,1
12,3,4,114,200,0.467,54.3248731,1,0,0,0,AR2,0.8320046,1,0,0,0,0,1
13,4.333333333,3,110,100,-0.224,60.53,6,0,0,0,AR2,0.8686525,0,0,0,0,1,1
0,0,0,113,200,0.69,58.3134007,2,0,0,0,AR2,1.0550046,0,1,0,0,0,1
0,0,0,112,200,0.69,60.2385197,1,0,0,0,AR2,1.0550046,0,0,1,0,0,1
35,4.375,8,114,200,0.328,100,3,0,0,0,AR3,0.6930046,1,0,0,0,0,1
22,4.4,5,113,200,0.441,82.4549492,2,0,0,0,AR3,0.8060046,0,1,0,0,0,1
16,4,4,112,200,0.441,72.4696813,1,0,0,0,AR3,0.8060046,0,0,1,0,0,1
5,2.5,2,110,200,0.582,62.23,4,0,0,0,AR3,0.9470046,0,0,0,0,0,0
5,2.5,2,111,200,0.602,78.53,5,0,0,0,AR3,0.9670046,0,0,0,1,0,0
24,4,6,114,200,0.527,55.8043832,1,0,0,0,AR4,0.8920046,1,0,0,0,0,1
21,4.2,5,113,200,0.904,61.8317374,1,0,0,0,AR4,1.2690046,0,1,0,0,0,1
8,8,1,112,100,-0.093,58.8812663,6,0,0,0,AR4,0.7376525,0,0,1,0,1,1
9,9,1,111,100,-0.114,86.17,5,0,0,0,AR4,0.7586525,0,0,0,1,1,0
0,0,0,110,100,-0.136,74.73,4,0,0,0,AR4,0.7806525,0,0,0,0,1,1
10,5,2,111,100,-0.186,55.88,1,0,1,0,AZ1,0.8306525,0,0,0,1,1,1
3,3,1,110,200,0.407,51.75,3,0,0,0,AZ1,0.7720046,0,0,0,0,0,0
9,9,1,113,100,-0.186,51.7437095,2,0,0,0,AZ1,0.8306525,0,1,0,0,1,0
9,9,1,114,100,-0.161,52.6113638,3,0,0,0,AZ1,0.8056525,1,0,0,0,1,0
0,0,0,112,200,0.807,53.4509603,1,0,0,0,AZ1,1.1720046,0,0,1,0,0,1
37,4.111111111,9,111,200,0.894,59.44,4,0,0,0,AZ2,1.2590046,0,0,0,1,0,0
43,5.375,8,110,200,0.914,58.62,3,0,0,0,AZ2,1.2790046,0,0,0,0,0,0
18,3,6,114,200,0.321,50.0380825,1,0,0,0,AZ2,0.6860046,1,0,0,0,0,1
24,6,4,113,100,-0.088,50.1187657,2,0,0,0,AZ2,0.7326525,0,1,0,0,1,0
0,0,0,112,200,0.875,67.8494463,5,0,0,0,AZ2,1.2400046,0,0,1,0,0,1
74,4.625,16,112,200,0.857,55.9294785,1,0,0,0,AZ3,1.2220046,0,0,1,0,0,1
55,4.583333333,12,114,100,-0.6,55.7517461,7,0,1,0,AZ3,1.2446525,1,0,0,0,1,0
25,2.5,10,111,200,0.988,54.08,8,0,0,0,AZ3,1.3530046,0,0,0,1,0,0
40,5.714285714,7,113,100,-0.577,60.5126884,6,0,0,0,AZ3,1.2216525,0,1,0,0,1,0
15,2.5,6,110,200,0.961,59.27,7,0,0,0,AZ3,1.3260046,0,0,0,0,0,0
57,4.75,12,114,200,0.604,73.065894,3,0,0,0,AZ4,0.9690046,1,0,0,0,0,1
27,3.857142857,7,113,200,0.807,70.299371,2,0,0,0,AZ4,1.1720046,0,1,0,0,0,1
12,6,2,111,100,-0.408,72.11,10,0,0,0,AZ4,1.0526525,0,0,0,1,1,1
12,6,2,110,100,-0.404,72.52,9,0,0,0,AZ4,1.0486525,0,0,0,0,1,1
3,3,1,112,100,-0.413,69.8986955,11,0,0,0,AZ4,1.0576525,0,0,1,0,1,0
48,5.333333333,9,113,200,0.854,67.6071343,4,0,0,0,AZ5,1.2190046,0,1,0,0,0,1
27,3.375,8,114,200,0.673,69.5781303,5,0,0,0,AZ5,1.0380046,1,0,0,0,0,1
18,9,2,111,100,-0.031,53.16,2,0,0,0,AZ5,0.6756525,0,0,0,1,1,1
0,0,0,112,200,0.892,54.8896526,1,0,0,0,AZ5,1.2570046,0,0,1,0,0,1
0,0,0,110,100,-0.031,50.41,1,0,0,0,AZ5,0.6756525,0,0,0,0,1,1
66,5.076923077,13,114,200,0.642,64.861645,6,0,0,0,AZ6,1.0070046,1,0,0,0,0,1
34,4.25,8,112,200,1.013,69.4747451,6,0,0,0,AZ6,1.3780046,0,0,1,0,0,1
21,3.5,6,113,200,0.892,65.0063913,2,0,0,0,AZ6,1.2570046,0,1,0,0,0,1
23,5.75,4,111,200,1.001,62.42,5,0,0,0,AZ6,1.3660046,0,0,0,1,0,0
16,4,4,110,200,0.989,74.8,4,0,0,0,AZ6,1.3540046,0,0,0,0,0,0
22,5.5,4,114,100,-0.484,100,1,0,0,0,AZ7,1.1286525,1,0,0,0,1,1
13,3.25,4,111,100,-0.569,63.26,4,0,0,0,AZ7,1.2136525,0,0,0,1,1,0
16,5.333333333,3,112,100,-0.573,52.2108335,5,0,0,0,AZ7,1.2176525,0,0,1,0,1,1
22,7.333333333,3,110,100,-0.565,61.09,3,0,0,0,AZ7,1.2096525,0,0,0,0,1,0
4,4,1,113,100,-0.417,81.2078285,12,0,0,0,AZ7,1.0616525,0,1,0,0,1,0
117,4.875,24,112,100,-0.088,52.3219377,1,0,0,0,AZ8,0.7326525,0,0,1,0,1,0
35,3.888888889,9,114,200,0.753,100,7,0,0,0,AZ8,1.1180046,1,0,0,0,0,1
20,2.5,8,113,200,0.855,64.6717085,6,0,0,0,AZ8,1.2200046,0,1,0,0,0,1
22,3.142857143,7,111,100,-0.095,54.72,2,0,0,0,AZ8,0.7396525,0,0,0,1,1,1
11,5.5,2,110,100,-0.095,54.25,1,0,0,0,AZ8,0.7396525,0,0,0,0,1,1
21,7,3,114,100,-0.114,56.6372643,3,0,0,0,AZ9,0.7586525,1,0,0,0,1,0
15,15,1,113,100,-0.11,51.6655909,1,0,0,0,AZ9,0.7546525,0,1,0,0,1,0
17,4.25,4,113,200,0.748,58.1339294,1,0,0,0,CA1,1.1130046,0,1,0,0,0,1
7,3.5,2,114,200,0.563,61.0300778,3,0,0,0,CA1,0.9280046,1,0,0,0,0,1
0,0,0,110,100,-0.398,66.23,5,0,0,0,CA1,1.0426525,0,0,0,0,1,1
0,0,0,112,100,-0.404,66.4629873,7,0,0,0,CA1,1.0486525,0,0,1,0,1,1
0,0,0,111,100,-0.401,68.1,6,0,0,0,CA1,1.0456525,0,0,0,1,1,0
27,3.857142857,7,114,200,0.31,56.1489201,3,0,0,0,CA10,0.6750046,1,0,0,0,0,1
6,2,3,113,200,0.661,53.5284368,2,0,0,0,CA10,1.0260046,0,1,0,0,0,1
12,6,2,112,100,-0.332,60.1752449,2,0,0,0,CA10,0.9766525,0,0,1,0,1,0
3,3,1,110,100,-0.29,66.43,6,0,0,0,CA10,0.9346525,0,0,0,0,1,1
0,0,0,111,100,-0.332,65.12,1,0,0,0,CA10,0.9766525,0,0,0,1,1,1
88,4,22,113,100,-0.616,69.13991,20,0,1,0,CA11,1.2606525,0,1,0,0,1,0
59,4.538461538,13,112,100,-0.252,50.1319877,3,0,0,0,CA11,0.8966525,0,0,1,0,1,0
17,8.5,2,114,100,-0.494,67.2739348,1,0,0,0,CA11,1.1386525,1,0,0,0,1,0
0,0,0,110,100,-0.252,53.27,1,0,0,0,CA11,0.8966525,0,0,0,0,1,1
0,0,0,111,100,-0.252,55.27,2,0,0,0,CA11,0.8966525,0,0,0,1,1,1
34,3.4,10,112,100,-0.468,76.699187,3,0,0,0,CA12,1.1126525,0,0,1,0,1,0
28,4,7,114,100,-0.494,83.2537553,16,0,0,1,CA12,1.1386525,1,0,0,0,1,0
25,3.571428571,7,113,100,-0.388,84.9214592,14,0,0,1,CA12,1.0326525,0,1,0,0,1,0
7,2.333333333,3,111,100,-0.468,75.11,2,0,0,0,CA12,1.1126525,0,0,0,1,1,1
0,0,0,110,100,-0.468,77.72,1,0,0,0,CA12,1.1126525,0,0,0,0,1,1
101,4.391304348,23,113,100,-0.652,86.6370835,9,0,0,0,CA13,1.2966525,0,1,0,0,1,0
66,4.4,15,112,100,-0.695,71.543561,20,0,0,0,CA13,1.3396525,0,0,1,0,1,0
