state.district,MemberName,FilerName,MemberTrip,Destination,Foreign,TravelSponsor,Departure_Date,Return_Date,namedate,FilingType,cong
OH11,"Fudge, Marcia",Marcia L. Fudge,1,"Birmingham, AL",0,45th Street Baptist Church,12/13/14,12/14/14,OH11 2014-12-13,Original,113
MA4,"Frank, Barney",Barney Frank,1,"New York, NY",0,92nd Street Y,5/22/11,5/23/11,MA4 2011-05-22,Original,112
GA5,"Lewis, John",John Lewis,1,"Phoenix, AZ",0,A. Philip Randolph Institute,8/15/09,8/16/09,GA5 2009-08-15,Original,111
MD4,"Edwards, Donna F.",Donna F. Edwards,1,"Detroit, MI",0,A. Philip Randolph Institute,0016-08-25,0016-08-25,"Edwards, Donna F. 2016-08-25",Original,114
GA10,"Broun, Paul C.",Paul C. Broun,1,"Denver, CO",0,AAPS,9/27/13,9/28/13,GA10 2013-09-27,Original,113
MN8,"Oberstar, James L.",David Heymsfeld,0,"Palm Springs, CA",0,AASHTO,10/25/09,10/26/09,MN8 2009-10-25,Original,111
NY15,"Rangel, Charles B.",Adam Gropper,0,"San Antonio, TX",0,ABA Fund for Justice and Education and ABA Section of Taxation,1/22/10,1/23/10,NY15 2010-01-22,Original,111
NY15,"Rangel, Charles B.",Kashi Way,0,"Chicago, IL",0,ABA Fund for Justice and Education and ABA Section of Taxation,9/24/09,9/25/09,NY15 2009-09-24,Original,111
MI4,"Camp, Dave",Thomas A. Barthold,0,"Boca Raton, FL",0,ABA Fund for Justice and Education and ABA Section of Taxation,1/22/11,1/23/11,MI4 2011-01-22,Original,112
NY15,"Rangel, Charles B.",Edward Kleinbard,0,"Philadelphia, PA",0,ABA Fund for Justice and Education and ABA Section of Taxation,11/12/08,11/12/08,NY15 2008-11-12,Original,110
WA7,"McDermott, Jim",Jim McDermott,1,"New York City, NY",0,ABC News,5/13/11,5/13/11,WA7 2011-05-13,Original,112
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,12/1/12,12/2/12,MN5 2012-12-01,Original,112
OK4,"Cole, Tom",Jocelyn Rogers,0,"New York, NY",0,ABC News,12/1/12,12/2/12,OK4 2012-12-01,Original,112
GA6,"Price, Tom",Thomas Price,1,"New York, NY",0,ABC News,5/18/13,5/19/13,GA6 2013-05-18,Original,113
ID1,"Labrador, Raul",Raul R. Labrador,1,"New York, NY",0,ABC News,10/12/13,10/13/13,ID1 2013-10-12,Original,113
IL16,"Kinzinger, Adam",Adam Kinzinger,1,"New York, NY",0,ABC News,3/1/14,3/3/14,IL16 2014-03-01,Original,113
IL16,"Kinzinger, Adam",Adam Kinzinger,1,"New York, NY",0,ABC News,9/7/13,9/8/13,IL16 2013-09-07,Original,113
MI12,"Dingell, John D.",John D. Dingell,1,"New York, NY",0,ABC News,6/1/13,6/4/13,MI12 2013-06-01,Original,113
MI3,"Amash, Justin",Justin Amash,1,"New York, NY",0,ABC News,9/14/13,9/16/13,MI3 2013-09-14,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,2/9/13,2/10/13,MN5 2013-02-09,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,5/17/14,5/18/14,MN5 2014-05-17,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,6/8/13,6/9/13,MN5 2013-06-08,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,8/17/13,8/18/13,MN5 2013-08-17,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,10/12/13,10/13/13,MN5 2013-10-12,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,11/9/13,11/10/13,MN5 2013-11-09,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,11/30/13,12/1/13,MN5 2013-11-30,Original,113
OK4,"Cole, Tom",Thomas Jeffery Cole,1,"New York, NY",0,ABC News,2/9/13,2/10/13,OK4 2013-02-09,Original,113
OK4,"Cole, Tom",Thomas Jeffery Cole,1,"New York, NY",0,ABC News,11/30/13,12/1/13,OK4 2013-11-30,Original,113
OK4,"Cole, Tom",Thomas Jeffrey Cole,1,"New York, NY",0,ABC News,6/7/14,6/8/14,OK4 2014-06-07,Original,113
OK4,"Cole, Tom",Tom Cole,1,"New York, NY",0,ABC News,7/13/13,7/14/13,OK4 2013-07-13,Original,113
TX20,"Castro, Joaquin",Joaquin Castro,1,"New York, NY",0,ABC News,6/22/13,6/23/13,TX20 2013-06-22,Original,113
TX20,"Castro, Joaquin",Joaquin Castro,1,"New York, NY",0,ABC News,8/2/14,8/3/14,TX20 2014-08-02,Original,113
TX20,"Castro, Joaquin",Joaquin Castro,1,"New York, NY",0,ABC News,8/10/13,8/11/13,TX20 2013-08-10,Original,113
IL4,"Gutierrez, Luis",Luis V. Gutierrez,1,"Washington, DC",0,ABC News,6/14/14,6/15/14,IL4 2014-06-14,Original,113
IL4,"Gutierrez, Luis",Luis V. Gutierrez,1,"Washington, DC",0,ABC News,11/15/14,11/16/14,IL4 2014-11-15,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"Washington, DC",0,ABC News,3/22/14,3/23/14,MN5 2014-03-22,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"Washington, DC",0,ABC News,6/21/14,6/22/14,MN5 2014-06-21,Original,113
MN5,"Ellison, Keith",Keith Ellison,1,"Washington, DC",0,ABC News,12/13/14,12/14/14,MN5 2014-12-13,Original,113
AL3,"Rogers, Mike",Susan Phalen,0,"New York, NY",0,ABC News,2/23/13,2/24/13,AL3 2013-02-23,Original,113
TX20,"Castro, Joaquin",Joaquin Castro,1,"New York, NY",0,ABC News,0015-07-03,0015-07-06,"Castro, Joaquin 2015-07-03",Original,114
OK4,"Cole, Tom",Tom Cole,1,"New York, NY",0,ABC News,0015-07-04,0015-07-05,"Cole, Tom 2015-07-04",Original,114
OK4,"Cole, Tom",Tom Cole,1,"New York, NY",0,ABC News,0015-10-03,0015-10-04,"Cole, Tom 2015-10-03",Original,114
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,0015-11-21,0015-11-22,"Ellison, Keith 2015-11-21",Original,114
MN5,"Ellison, Keith",Keith Ellison,1,"New York, NY",0,ABC News,0016-01-16,0016-01-17,"Ellison, Keith 2016-01-16",Original,114
MN5,"Ellison, Keith",Keith Ellison,1,"Washington, DC",0,ABC News,0015-05-23,0015-05-24,"Ellison, Keith 2015-05-23",Original,114
AZ2,"McSally, Martha",Martha McSally,1,"New York, NY",0,ABC News,0015-11-22,0015-11-22,"McSally, Martha 2015-11-22",Original,114
