state.district,MemberName,Destination,Foreign,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
IN5,"Burton, Dan","Berlin, Germany",1,German Marshall Fund,3/30/07,4/5/07,7,IN5 2007-03-30
IN5,"Burton, Dan","Ankara, Turkey",1,US. Association of Former Members of Congress,5/25/07,6/1/07,8,IN5 2007-05-25
IN4,"Buyer, Steve","Berlin, Germany",1,German Marshall Fund,7/5/07,7/9/07,5,IN4 2007-07-05
MI14,"Conyers, John (Amendment)","New York, NY",0,American Sociological Association,8/13/07,8/14/07,2,MI14 2007-08-13
WA2,"Larsen, Rick","Beijing, China",1,National Council on U.S. China Relations,8/24/07,9/2/07,10,WA2 2007-08-24
WA2,"Larsen, Rick","Beijing, China",1,National Committee on U.S.-China Relations,8/27/07,9/1/07,6,WA2 2007-08-27
WI4,"Moore, Gwen","Hutchinson, Ks",0,LISC- Greater Kansas City,9/6/07,9/7/07,2,WI4 2007-09-06
TX16,"Reyes, Silvestre","New York, NY",0,New York University,9/6/07,9/7/07,2,TX16 2007-09-06
CA39,"Sanchez, Linda","Las Vegas, NV",0,Consumer Attorneys Association of Los Angeles (CAALA),9/7/07,9/9/07,3,CA39 2007-09-07
CA31,"Becerra, Xavier","Miami, Fl",0,Univision,9/8/07,9/8/07,1,CA31 2007-09-08
CA16,"Lofgren, Zoe","Los Angeles, CA",0,Stanford University,9/8/07,9/9/07,2,CA16 2007-09-08
CT4,"Shays, Christopher","Los Angeles, CA",0,Farm Sanctuary,9/8/07,9/9/07,2,CT4 2007-09-08
IL4,"Gutierrez, Luis","Miami, FL",0,Univision,9/8/07,9/9/07,2,IL4 2007-09-08
OK1,"Sullivan, John","Monterey, CA",0,Panetta Institute for Public Policy,9/12/07,9/16/07,5,OK1 2007-09-12
CA8,"Pelosi, Nancy","Monterey, CA -",0,Panetta Institute for Public Policy,9/12/07,9/16/07,5,CA8 2007-09-12
IL9,"Schakowsky, Janice","Los Angeles, CA",0,Maher Live Inc.,9/14/07,9/15/07,2,IL9 2007-09-14
WA7,"McDermott, Jim","Jacksonville, FL",0,The Leaders Project,9/14/07,9/16/07,3,WA7 2007-09-14
TN6,"Gordon, Bart","San Jose, CA",0,Stanford University,9/14/07,9/16/07,3,TN6 2007-09-14
SC6,"Clyburn, James","Atlanta, GA",0,Harvard University,9/16/07,9/16/07,1,SC6 2007-09-16
TX6,"Barton, Joe","Indianapolis, IN",0,Indiana Energy Association,9/20/07,9/21/07,2,TX6 2007-09-20
CA35,"Waters, Maxine","Charleston, SC",0,North Charleston NAACP Branch - Civil Rights Organization,9/21/07,9/22/07,2,CA35 2007-09-21
ME2,"Michaud, Michael H.",Costa Rica,1,Economic Policy Institute,9/21/07,9/23/07,3,ME2 2007-09-21
NC2,"Etheridge, Bob","White Sulpher Springs, WV",0,Croplife America,9/22/07,9/23/07,2,NC2 2007-09-22
GA5,"Lewis, John",AR,0,"Centeral High Museum, Inc.",9/23/07,9/24/07,2,GA5 2007-09-23
VA6,"Goodlatte, Bob","Pensacola, FL",0,Southeastern Society of American Forecasters,9/23/07,9/24/07,2,VA6 2007-09-23
FL19,"Wexler, Robert","Boston, MA",0,BMW Foundation herbert Quandt,9/27/07,9/30/07,4,FL19 2007-09-27
CA49,"Issa, Darrell","Cape Cod, MA",0,BMW Foundation Herbert Quandt,9/27/07,9/30/07,4,CA49 2007-09-27
KY4,"Davis, Geoff","Albuquerque, NM",0,Home School Legal Defense Association,9/28/07,9/29/07,2,KY4 2007-09-28
