state.district,MemberName,Destination,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
HI1,"Abercrombie, Neil","San Diego, CA","Maritime Trades Department, AFL-CIO",2/28/08,3/1/08,3,HI1 2008-02-28
HI1,"Abercrombie, Neil","Salt Lake City, UT",The US Association of Former Members of Congress' Congressional Study Group on Germany,5/16/08,5/18/08,3,HI1 2008-05-16
HI1,"Abercrombie, Neil","Atlanta, GA",Campaign for Public Health,3/24/08,3/25/08,2,HI1 2008-03-24
HI1,"Abercrombie, Neil","Kona, HI",American Sugar Alliance,8/4/08,8/4/08,1,HI1 2008-08-04
HI1,"Abercrombie, Neil","Las Vegas, NV","American Postal Workers Union, AFL CIO",8/17/08,8/18/08,2,HI1 2008-08-17
NY5,"Ackerman, Gary L.","Lanai, Hawaii",The Aspen Institute Congressional Program,3/23/08,3/30/08,8,NY5 2008-03-23
NY5,"Ackerman, Gary L.","New York, NY","Turkish Cultural Center, New York",5/24/08,5/31/08,8,NY5 2008-05-24
NY5,"Ackerman, Gary L.","Jerusalem, Israel",Saban Center for Middle East Policy,11/1/07,11/6/07,6,NY5 2007-11-01
NY5,"Ackerman, Gary L.","Washington, DC",AIPAC,2/11/08,2/12/08,2,NY5 2008-02-11
NY5,"Ackerman, Gary L.","Baltimore, MD",Mercatus Center at George Mason University,2/22/08,2/24/08,3,NY5 2008-02-22
NY5,"Ackerman, Gary L.","Washington, DC",CBS News,12/20/08,12/21/08,2,NY5 2008-12-20
AL4,"Aderholt, Robert","Baltimore, MD",The Heritage Foundation,1/30/08,1/31/08,2,AL4 2008-01-30
AL4,"Aderholt, Robert","Algiers, Algeria",Defense Forum Foundation,11/26/07,12/2/07,7,AL4 2007-11-26
AL4,"Aderholt, Robert","Royal Oak, St. Michael's, MD",Faith and Law; Field Charitable Trust,12/5/08,12/7/08,3,AL4 2008-12-05
AL4,"Aderholt, Robert","Budva, Montenegro",International Foundation (Fellowship Foundation),5/23/08,5/31/08,9,AL4 2008-05-23
MO2,"Akin, W. Todd","Baltimore, MD",The Heritage Foundation,1/30/08,2/1/08,3,MO2 2008-01-30
MO2,"Akin, W. Todd","West Palm Beach, FL",The Club for Growth,2/1/08,2/2/08,2,MO2 2008-02-01
MO2,"Akin, W. Todd","Baltimore, MD",Mercatus Center of Center of George Mason University,2/22/08,2/24/08,3,MO2 2008-02-22
MO2,"Akin, W. Todd","Cambridge, MD",The Congressional Institute,11/1/07,11/4/07,4,MO2 2007-11-01
MO2,"Akin, W. Todd","Royal Oak, MD",Faith & Law and the Field,12/5/08,12/7/08,3,MO2 2008-12-05
LA5,"Alexander, Rodney","Cape Town, ZA",International Conservation Caucus Foundation,12/1/07,12/10/07,10,LA5 2007-12-01
LA5,"Alexander, Rodney","Naples, FL",American Shipbuilding Association,11/30/08,12/3/08,4,LA5 2008-11-30
LA5,"Alexander, Rodney",Jersalem,American Israel Education Foundation (AIEF),12/6/08,12/14/08,9,LA5 2008-12-06
ME1,"Allen, Thomas H.","Baltimore, MD",Catholic Health Association,2/21/08,2/22/08,2,ME1 2008-02-21
ME2,"Allen, Thomas H.","San Antonio, TX",Society for Integrative and Comparative Biology,1/2/08,1/6/08,5,ME2 2008-01-02
ME3,"Allen, Thomas H.","Monterey, CA",Monterey Bay Aquarium Research Institute (MBARI),5/27/08,5/30/08,4,ME3 2008-05-27
ME4,"Allen, Thomas H.","San Antonio, TX",Society for Integrative and Comparative Biology,1/2/08,1/6/08,5,ME4 2008-01-02
ME5,"Allen, Thomas H. (Amendment)","Monterey, CA",Monterey Bay Aquarium Research Institute (MBARI),5/27/08,5/30/08,4,ME5 2008-05-27
PA4,"Altmire, Jason","Indianapolis, IN",American College for Sports Medicine,5/30/08,5/31/08,2,PA4 2008-05-30
PA4,"Altmire, Jason","Queenstown, MD",Third Way,10/26/07,10/28/07,3,PA4 2007-10-26
PA4,"Altmire, Jason","Queenstown, MD",Thrid Way,10/26/08,10/28/08,3,PA4 2008-10-26
CA43,"Baca, Joe","New York, NY",The Walter Kaitz Fouindation,9/17/08,9/18/08,2,CA43 2008-09-17
CA43,"Baca, Joe","Amsterdam, The Netherlands",Franklin Center for Global Policy Exchange,11/9/08,11/12/08,4,CA43 2008-11-09
CA43,"Baca, Joe","Atlantic City, NJ","International Union, UAW",6/20/08,6/21/08,2,CA43 2008-06-20
CA43,"Baca, Joe","Albuquerque, NM",The University of New Mexico,12/18/08,12/21/08,4,CA43 2008-12-18
MN6,"Bachmann, Michele","Palm Beach, Florida",Club for Growth,1/31/08,2/1/08,2,MN6 2008-01-31
MN6,"Bachmann, Michele","Baltimore, MD",The Heritage Foundation,1/30/08,2/1/08,3,MN6 2008-01-30
MN6,"Bachmann, Michele",Ankara,Tuskon US,3/22/08,3/29/08,8,MN6 2008-03-22
MN6,"Bachmann, Michele","Cambridge, MD",The Congressional Institute,11/1/07,11/3/07,3,MN6 2007-11-01
