state.district,MemberName,Destination,TravelSponsor,Departure_Date,Return_Date,travel.time,namedate
AK1,"Young, Don","New Orleans, LA",Institute for Research on Economics of Taxation (IRET),4/16/09,4/19/09,4,AK1 2009-04-16
AK1,"Young, Don","Queenstown, MD",Partnership for a Secure America,11/14/09,11/15/09,2,AK1 2009-11-14
AK1,"Young, Don","Queenstown, MD",Partnership for a Secure America,5/29/10,5/30/10,2,AK1 2010-05-29
AL1,"Bonner, Jo","Hotsprings, VA",The Congressional Institute,1/29/09,1/31/09,3,AL1 2009-01-29
AL1,"Bonner, Jo","Baltimore, MD",The Heritage Foundation,2/5/09,2/7/09,3,AL1 2009-02-05
AL1,"Bonner, Jo","Philadelphia, PA","Mercatus Center, George Mason University",2/20/09,2/22/09,3,AL1 2009-02-20
AL1,"Bonner, Jo","Palm Beach, FL",Club of Growth,3/6/09,3/8/09,3,AL1 2009-03-06
AL1,"Bonner, Jo","Cambridge, MD",Congressional Institute,3/12/09,3/14/09,3,AL1 2009-03-12
AL1,"Bonner, Jo",Tel Aviv,America Israel Education Foundation (AIEF),12/5/09,12/13/09,9,AL1 2009-12-05
AL1,"Bonner, Jo","Cambridge, MD",The Congressional Institute,5/6/10,5/8/10,3,AL1 2010-05-06
AL2,"Bright, Bobby","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/8/09,8/16/09,9,AL2 2009-08-08
AL3,"Rogers, Mike","Cambridge, MD",The Congressional Insitute,5/7/10,5/7/10,1,AL3 2010-05-07
AL5,"Griffith, Parker","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/8/09,8/16/09,9,AL5 2009-08-08
AL5,"Griffith, Parker","Chesapeake Bay, MD",Congressional Institute,5/6/10,5/8/10,3,AL5 2010-05-06
AL5,"Griffith, Parker","Lynchburg, VA",The Heritage Foundation and Thrid Way,6/3/10,6/3/10,1,AL5 2010-06-03
AL6,"Bachus, Spencer","Hot Springs, VA",Congressional Institute,1/29/09,1/31/09,3,AL6 2009-01-29
AL6,"Bachus, Spencer","Jacksonville, FL",The Tobin Project / The Howard Gilman Foundation,4/24/09,4/26/09,3,AL6 2009-04-24
AL6,"Bachus, Spencer","Atlanta, GA",FHLBank of Atlanta,11/1/09,11/2/09,2,AL6 2009-11-01
AL6,"Bachus, Spencer","Baltimore, MD",The Congressional Institute,1/28/10,1/30/10,3,AL6 2010-01-28
AL6,"Bachus, Spencer","Ankara, Turkey",Turkish Coalition of America,2/13/10,2/21/10,9,AL6 2010-02-13
AL6,"Bachus, Spencer","Ankara, Turkey",Turkish Coalition of America,3/27/10,4/3/10,8,AL6 2010-03-27
AL6,"Bachus, Spencer","Cambridge, MD",Congressional Institute,5/6/10,5/8/10,3,AL6 2010-05-06
AL6,"Bachus, Spencer","San Fransico, CA","Federal Home Loan Bank - San Fransico, CA",8/19/10,8/21/10,3,AL6 2010-08-19
AL7,"Davis, Artur","Philadelphia, PA",The Information Technology and Innovation Foundation,4/15/09,4/16/09,2,AL7 2009-04-15
AL7,"Davis, Artur","Yulee, FL","Third Way, Howard Gillman Foundation",6/5/09,6/7/09,3,AL7 2009-06-05
AL7,"Davis, Artur","New York, NY",BET Networks,9/30/10,9/30/10,1,AL7 2010-09-30
AR2,"Snyder, Vic",Algiers,Defense Forum Foundation,8/3/09,8/9/09,7,AR2 2009-08-03
AR2,"Snyder, Vic",Cyprus -,American-Turkish Council,8/8/09,8/16/09,9,AR2 2009-08-08
AR2,"Snyder, Vic",New York City,The Humpty Dumpty Institute,10/29/09,11/1/09,4,AR2 2009-10-29
AR2,"Snyder, Vic",Berlin,US Association of Formers Members of Congress,11/8/09,11/13/09,6,AR2 2009-11-08
AR2,"Snyder, Vic","Dhaka, Bangladesh",RESULTS Educational Fund,1/8/10,1/17/10,10,AR2 2010-01-08
AR3,"Boozman, John","Queenstown, MD",Partnership for a Secure America,8/1/09,8/2/09,2,AR3 2009-08-01
AR3,"Boozman, John","Charlottesville, VA",The Heritage Foundation,1/14/10,1/16/10,3,AR3 2010-01-14
AR4,"Ross, Mike","Tel Aviv, Israel",American Israel Education Foundation,6/27/09,7/5/09,9,AR4 2009-06-27
AZ1,"Kirkpatrick, Ann","Tel Aviv, Israel",American Israel Education Foundation (AIEF),8/8/09,8/8/09,1,AZ1 2009-08-08
